"Code","deaths","X2018.people.per.sq..km","Mean_ann_earnings","median_age_2018","pm25_5yAvg","no2_5yAvg","o3_5yAvg","pm10_5yAvg","nox_5yAvg","cases","earnings_5ya.x","pop_dens_5ya","age_5ya.x","earnings_5ya.y","age_5ya.y","earnings_5ya","age_5ya"
"E07000071",26,585,32774,37.9,11.099726,15.394256,3.9295471,16.197012,21.933111,106,29549.8,574,38.1,29549.8,38.1,29549.8,38.1
"E07000072",65,387,35185,42.7,10.946901,17.379737,3.7714663,16.301759,25.030891,235,36454.4,384,42.7,36454.4,42.7,36454.4,42.7
"E07000073",38,2836,28669,37.5,10.691811,15.491037,4.0120848,15.747967,22.001155,158,27280.8,2814,37.4,27280.8,37.4,27280.8,37.4
"E07000074",13,180,34872,48.7,10.695048,11.6340119,4.4732938,16.152613,16.013231,54,35998.4,178,48,35998.4,48,35998.4,48
"E07000075",26,513,32303,46.1,10.762884,13.654381,4.2624479,16.319811,19.2474,83,31612.2,514,45.7,31612.2,45.7,31612.2,45.7
"E07000076",37,432,24841,50.4,10.1060267,9.0883916,4.6977376,15.808115,12.221089,119,24359.8,428,50,24359.8,50,24359.8,50
"E07000077",16,139,43669,44,10.0611995,9.9835511,4.9240464,15.777565,13.559143,79,40109.2,136,43.7,40109.2,43.7,40109.2,43.7
"E07000078",37,2513,32972,40.2,9.918287,14.306349,3.2504543,14.312529,20.231531,173,29782.8,2507,39.8,29782.8,39.8,29782.8,39.8
"E07000079",14,76,31025,48.8,8.8701908,6.5570799,4.0573302,13.822258,8.6576622,77,28983.8,75,48.3,28983.8,48.3,28983.8,48.3
"E07000080",16,164,26008,47.9,8.1226083,6.1716458,3.7835082,11.761135,8.1014564,65,26139,163,47.4,26139,47.4,26139,47.4
"E07000081",31,3188,25840,38.9,10.022086,15.67164,3.0434719,14.604373,22.461307,144,24307.2,3159,38.6,24307.2,38.6,24307.2,38.6
"E07000082",21,258,28761,46.4,9.1637619,10.6165786,3.5991186,13.194006,14.506387,111,29122.8,256,45.9,29122.8,45.9,29122.8,45.9
"E07000084",41,277,33830,41,9.2499382,9.1638706,4.8354456,14.314202,12.441034,430,33562.6,276,40.7,33562.6,40.7,33562.6,40.7
"E07000085",22,235,40919,46.9,8.9174767,8.3576632,4.7283876,13.435123,11.231089,112,36411.2,233,46.3,36411.2,46.3,36411.2,46.3
"E07000086",17,1653,28543,42.2,10.6083821,18.907158,3.5024819,15.34622,28.026492,115,28511.6,1639,42,28511.6,42,28511.6,42
"E07000087",40,1567,33102,46.3,10.6996729,18.893767,3.4401412,15.559205,28.012382,106,30949.2,1559,45.7,30949.2,45.7,30949.2,45.7
"E07000088",22,3363,25507,42.2,10.355404,22.297786,2.7791642,14.747404,35.360319,72,25691.2,3351,41.8,25691.2,41.8,25691.2,41.8
"E07000089",20,447,41808,43.4,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,83,38916.4,443,42.9,38916.4,42.9,38916.4,42.9
"E07000090",30,2272,27619,45.8,9.5868059,14.152813,3.7851217,13.887806,20.127177,122,27242.4,2232,45.5,27242.4,45.5,27242.4,45.5
"E07000091",27,239,27106,50.4,8.4224178,9.3252266,4.5598805,12.222616,12.662196,135,26958,239,49.6,26958,49.6,26958,49.6
"E07000092",14,2437,33288,38.3,9.8273507,13.480369,3.8891023,13.993821,18.902288,151,29942.4,2442,37.7,29942.4,37.7,29942.4,37.7
"E07000093",15,199,32490,44.9,8.7858634,8.307563,5.0421453,13.433239,11.231053,133,31460.4,196,44.6,31460.4,44.6,31460.4,44.6
"E07000095",37,1883,35279,40.1,10.280227,14.742437,4.0681202,15.249975,20.74261,119,32874.4,1879,40.1,32874.4,40.1,32874.4,40.1
"E07000096",44,726,34227,40.6,9.7689412,11.6928945,4.1460475,14.327163,16.101761,172,35703.8,718,40.5,35703.8,40.5,35703.8,40.5
"E07000098",74,1030,38523,40.7,10.613794,16.625369,3.726365,15.592626,23.845729,252,35321,1026,40.4,35321,40.4,35321,40.4
"E07000099",20,355,33290,42.1,10.321385,14.056329,4.250129,15.861254,19.728871,99,33933.2,353,41.8,33933.2,41.8,33933.2,41.8
"E07000103",38,4515,32829,36.7,11.012944,19.558829,3.2907271,15.816791,28.797299,198,33002.8,4499,36.1,33002.8,36.1,33002.8,36.1
"E07000105",17,223,29591,41.9,11.277621,14.479775,3.7999864,16.675207,20.389283,160,28474.6,218,41.8,28474.6,41.8,28474.6,41.8
"E07000106",30,533,28993,38,10.839397,13.025307,4.2144483,15.863589,18.149477,148,28754.4,525,38.2,28754.4,38.2,28754.4,38.2
"E07000107",29,1508,32715,37.3,12.390539,22.617026,3.0078758,18.139129,34.126918,274,30525,1468,37.5,30525,37.5,30525,37.5
"E07000108",24,371,27654,46.4,9.8843864,14.014635,3.9706689,14.296356,19.893886,85,25813.8,366,45.9,25813.8,45.9,25813.8,45.9
"E07000109",28,1074,28460,39.6,10.886708,15.129054,3.9667992,16.246505,21.455689,140,27008.2,1071,39.3,27008.2,39.3,27008.2,39.3
"E07000110",24,432,30868,41.4,11.719102,16.014888,3.7436851,16.810951,22.821353,152,30557.4,424,41.5,30557.4,41.5,30557.4,41.5
"E07000111",32,326,40393,44.1,10.2165619,12.369533,3.979659,14.829209,17.068558,129,41475,323,43.9,41475,43.9,41475,43.9
"E07000112",16,316,26383,46.9,9.6423459,8.0753207,4.373952,14.946872,10.763732,80,26255.6,312,46.2,26255.6,46.2,26255.6,46.2
"E07000113",33,397,28864,41.3,10.129843,13.628724,4.2531002,14.62343,19.260255,137,26513.8,390,41.5,26513.8,41.5,26513.8,41.5
"E07000114",31,1372,22388,44.7,10.2376342,10.3304072,4.5274586,15.968623,14.079702,170,22004,1358,44.3,22004,44.3,22004,44.3
"E07000115",17,543,36707,42.3,9.9199545,10.3757451,4.2284939,14.399125,14.081485,101,35477,534,42.2,35477,42.2,35477,42.2
"E07000116",14,356,36271,43,10.510747,11.8010358,3.6215053,14.959357,16.239154,89,36367.6,355,42.4,36367.6,42.4,36367.6,42.4
"E07000117",20,800,23695,39.9,8.8651545,14.841912,1.9863167,12.477098,21.029763,100,23646.4,794,40,23646.4,40,23646.4,40
"E07000118",17,576,27728,43.4,9.0116339,15.684601,1.9790293,13.568833,22.251993,128,25233,567,43,25233,43,25233,43
"E07000119",16,481,32034,50.1,7.5979986,10.4060525,2.4502208,11.740929,14.112058,69,28842.8,475,49.3,28842.8,49.3,28842.8,49.3
"E07000120",11,1107,25439,39.7,8.4967408,15.049188,1.9872576,12.447394,21.260471,65,23059.6,1103,39.9,23059.6,39.9,23059.6,39.9
"E07000121",24,250,27394,39.7,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,481,26252.8,251,40,26252.8,40,26252.8,40
"E07000122",21,540,27708,39.7,7.1201836,9.4502235,2.4406555,10.1076964,12.755026,79,25041.4,536,39.6,25041.4,39.6,25041.4,39.6
"E07000123",25,997,24298,35.2,8.3425108,15.439533,2.0370427,12.297666,21.879239,157,23606.8,993,35.2,23606.8,35.2,23606.8,35.2
"E07000124",6,103,32436,47.9,6.3708318,6.248561,2.6419096,9.1870519,8.1885755,43,31469.8,102,47.1,31469.8,47.1,31469.8,47.1
"E07000125",5,514,26771,42.5,7.2265972,10.557919,2.1695308,10.567473,14.359186,46,25508.2,509,42.2,25508.2,42.2,25508.2,42.2
"E07000126",16,979,26452,44.3,7.6042069,10.8294187,2.3577752,11.728199,14.7225,90,26826.2,973,43.8,26826.2,43.8,26826.2,43.8
"E07000127",30,329,28809,44.4,8.1955597,9.2144377,2.5140361,13.286536,12.4083472,170,27033.6,327,44.1,27033.6,44.1,27033.6,44.1
"E07000128",12,394,24317,49.5,3.89174814,2.6605831,1.429549248,6.9333728,3.37835524,116,24286.2,391,48.8,24286.2,48.8,24286.2,48.8
"E07000129",14,770,28477,43,10.2119442,15.870884,2.8316552,15.287715,22.759546,80,28003.6,755,43.1,28003.6,43.1,28003.6,43.1
"E07000130",30,655,27129,38.5,10.303407,15.553074,2.7941931,15.507245,22.354022,98,25849.6,642,38.8,25849.6,38.8,25849.6,38.8
"E07000131",14,156,33651,46.1,9.3149541,9.8713672,3.3334919,14.226917,13.486069,61,33931,154,45.5,33931,45.5,33931,45.5
