Unnamed: 0,Code,deaths,X2018.people.per.sq..km,Mean_ann_earnings,median_age_2018,Name,lat,lon
112,E07000087,40,"1,567","33,102",46.3,Fareham,50.8526637,-1.1783134
113,E07000088,22,"3,363","25,507",42.2,Gosport,50.7952074,-1.1210853
114,E07000089,20,447,"41,808",43.4,Hart,34.3410525,-82.9503277
115,E07000090,30,"2,272","27,619",45.8,Havant,50.8334197,-0.9826589
116,E07000091,27,239,"27,106",50.4,New Forest,50.8575514,-1.5779646
117,E07000092,14,"2,437","33,288",38.3,Rushmoor,51.2752389,-0.7693917
118,E07000093,15,199,"32,490",44.9,Test Valley,51.1337904,-1.5182864
119,E07000094,22,188,x,43.4,Winchester,51.0612766,-1.3131692
120,E07000095,37,"1,883","35,279",40.1,Broxbourne,51.7465723,-0.0190782
121,E07000096,44,726,"34,227",40.6,Dacorum,51.768954,-0.551551
122,E07000098,74,"1,030","38,523",40.7,Hertsmere,51.6808298,-0.2681113
123,E07000099,20,355,"33,290",42.1,North Hertfordshire,51.956865,-0.2230509
124,E07000102,25,"1,048","44,711",41.8,Three Rivers,28.4647614,-98.1809755
125,E07000103,38,"4,515","32,829",36.7,Watford,51.6553875,-0.3957425
126,E07000105,17,223,"29,591",41.9,Ashford,51.148555,0.8722566
127,E07000106,30,533,"28,993",38.0,Canterbury,51.2800275,1.0802533
128,E07000107,29,"1,508","32,715",37.3,Dartford,51.4443059,0.21807
129,E07000108,24,371,"27,654",46.4,Dover,51.1251275,1.3134228
130,E07000109,28,"1,074","28,460",39.6,Gravesham,51.3972369,0.3961726
131,E07000110,24,432,"30,868",41.4,Maidstone,51.2748258,0.5231646
132,E07000111,32,326,"40,393",44.1,Sevenoaks,51.2745218,0.1961166
133,E07000112,16,316,"26,383",46.9,Folkestone and Hythe,51.0577484,1.0060721
134,E07000113,33,397,"28,864",41.3,Swale,51.3968227,0.7405901
135,E07000114,31,"1,372","22,388",44.7,Thanet,51.3533045,1.3319866
136,E07000115,17,543,"36,707",42.3,Tonbridge and Malling,51.2717306,0.3566598
137,E07000116,14,356,"36,271",43.0,Tunbridge Wells,51.1371483,0.2673446
138,E07000117,20,800,"23,695",39.9,Burnley,53.7907262,-2.2439196
139,E07000118,17,576,"27,728",43.4,Chorley,53.6531915,-2.6294313
140,E07000119,16,481,"32,034",50.1,Fylde,53.7933622,-2.8942601
141,E07000120,11,"1,107","25,439",39.7,Hyndburn,53.7607317,-2.3900549
142,E07000121,24,250,"27,394",39.7,Lancaster,40.03813,-76.3056686
143,E07000122,21,540,"27,708",39.7,Pendle,53.8790402,-2.1717795
144,E07000123,25,997,"24,298",35.2,Preston,53.7593363,-2.6992717
145,E07000124,6,103,"32,436",47.9,Ribble Valley,53.902644,-2.422856
146,E07000125,5,514,"26,771",42.5,Rossendale,53.6848806,-2.2614398
147,E07000126,16,979,"26,452",44.3,South Ribble,53.7271527,-2.7330066
148,E07000127,30,329,"28,809",44.4,West Lancashire,53.6109397,-2.8565713
149,E07000128,12,394,"24,317",49.5,Wyre,59.1194397,-2.9708936
150,E07000129,14,770,"28,477",43.0,Blaby,52.5731976,-1.1646389
151,E07000130,30,655,"27,129",38.5,Charnwood,52.7392639,-1.1370833
152,E07000131,14,156,"33,651",46.1,Harborough,52.5385688,-0.9200445
153,E07000132,18,378,"25,750",45.0,Hinckley and Bosworth,52.608409,-1.417191
154,E07000133,14,106,"24,053",47.1,Melton,52.8117106,-0.8592867
155,E07000134,27,366,"28,006",43.9,North West Leicestershire,52.7704201,-1.3965047
156,E07000135,18,"2,425","23,642",42.7,Oadby and Wigston,52.5870666,-1.0997802
157,E07000136,10,190,"21,573",41.8,Boston,42.3602534,-71.0582912
158,E07000137,12,80,"23,634",52.0,East Lindsey,53.2680103,0.0127758
159,E07000138,6,"2,775","22,664",33.5,Lincoln,40.8088861,-96.7077751
160,E07000139,19,126,"28,639",46.1,North Kesteven,53.0725292,-0.4473539
161,E07000140,12,125,"25,558",46.2,South Holland,51.9966792,4.5597397
162,E07000141,12,150,"25,972",46.2,South Kesteven,52.8502665,-0.4951925
163,E07000142,5,82,"27,685",47.9,West Lindsey,53.3977285,-0.5035288
164,E07000143,11,107,"23,143",46.4,Breckland,52.5903063,0.7590358
165,E07000144,13,234,"26,363",48.0,Broadland,52.6928977,1.2564875
166,E07000145,16,570,"21,918",45.7,Great Yarmouth,52.6072426,1.7310768
167,E07000146,32,106,"24,498",47.4,King's Lynn and West Norfolk,52.7131627,0.4348749
168,E07000147,13,109,"21,427",53.8,North Norfolk,52.835652,1.1276598
169,E07000148,1,"3,617","25,987",33.3,Norwich,52.628606,1.29227
170,E07000149,11,152,"28,675",46.2,South Norfolk,52.5169106,1.3661678
171,E07000150,8,882,"22,986",37.4,Corby,52.48763,-0.701543
172,E07000151,16,128,"31,238",45.1,Daventry,52.2578681,-1.1626569
173,E07000152,27,184,"32,021",44.6,East Northamptonshire,52.4485206,-0.5084215
174,E07000153,16,434,"27,304",41.2,Kettering,39.6895036,-84.1688274
175,E07000154,49,"2,787","27,777",37.2,Northampton,52.2381355,-0.8963907
176,E07000155,13,146,"33,455",45.2,South Northamptonshire,52.1183853,-1.0800815
177,E07000156,11,487,"23,647",41.9,Wellingborough,52.30189,-0.6937309
178,E07000163,20,48,x,50.1,Craven,35.0808574,-77.0439978
179,E07000164,18,70,"27,639",49.4,Hambleton,54.2504584,-1.4368783
180,E07000165,35,123,"32,191",47.0,Harrogate,36.5703375,-83.6514249
181,E07000166,7,40,"24,638",43.9,Richmondshire,54.3574047,-1.9849525
182,E07000167,6,36,"27,708",50.0,Ryedale,54.1984242,-0.8614246
183,E07000168,17,133,"22,600",49.7,Scarborough,54.2820009,-0.4011868
184,E07000169,8,149,"32,728",44.6,Selby,53.784012,-1.0687806
185,E07000170,37,"1,161","25,083",42.1,Ashfield,-33.8894781,151.1274125
186,E07000171,10,183,"24,794",45.6,Bassetlaw,53.349452,-0.9616604
187,E07000172,24,"1,414","32,044",43.2,Broxtowe,52.9799943,-1.2145858
188,E07000173,31,982,"29,166",44.0,Gedling,53.0260538,-1.1071169
189,E07000174,33,"1,419","21,600",42.1,Mansfield,40.75839,-82.5154471
190,E07000175,24,187,"27,586",45.2,Newark and Sherwood,53.108954,-0.9443018
191,E07000176,17,288,"36,684",43.9,Rushcliffe,52.9125011,-1.0110622
192,E07000177,28,253,"31,298",41.1,Cherwell,51.9747169,-1.2262663
193,E07000178,22,"3,384","30,401",29.0,Oxford,51.7520131,-1.2578499
194,E07000179,23,207,"40,886",44.3,South Oxfordshire,51.6366088,-1.0804708
195,E07000180,51,232,"35,462",42.6,Vale of White Horse,51.654201,-1.4857035
196,E07000181,27,154,"28,948",44.4,West Oxfordshire,51.8403629,-1.5121274
197,E07000187,7,155,"25,863",46.6,Mendip,51.1943905,-2.5419221
198,E07000188,11,218,"26,472",46.5,Sedgemoor,51.1868339,-2.9684212
199,E07000189,12,175,"23,211",47.2,South Somerset,50.9843053,-2.7761562
200,E07000192,32,"1,269","25,444",42.6,Cannock Chase,52.7069197,-1.9784348
201,E07000193,36,306,"26,344",42.1,East Staffordshire,52.8879159,-1.9030446
202,E07000194,39,314,"36,357",46.3,Lichfield,52.6843696,-1.8275286
203,E07000195,27,614,"24,887",41.9,Newcastle-under-Lyme,53.0117627,-2.2273919
204,E07000196,37,275,"30,398",47.7,South Staffordshire,52.6047717,-2.2591648
205,E07000197,21,227,"28,083",45.2,Stafford,52.8063157,-2.1163818
206,E07000198,17,171,"26,212",48.2,Staffordshire Moorlands,53.0715567,-1.9742007
207,E07000199,26,"2,485","25,739",41.2,Tamworth,-31.0900743,150.9290159
208,E07000200,12,154,"36,313",48.5,Babergh,52.0629754,0.9122242
209,E07000202,30,"3,480","24,883",37.8,Ipswich,52.0579495,1.1526345
