"","ons_code","area","personal.buses.Motorways","personal.buses.A.roads","personal.buses.Minor.roads","personal.diesel.cars.Motorways","personal.diesel.cars.A.roads","personal.diesel.cars.Minor.roads","personal.petrol.cars.Motorway","personal.petrol.cars.A.roads","personal.petrol.cars.Minor.roads","personal.motorcycles.Motorways","personal.motorcycles.A.roads","personal.motorcycles.Minor.roads","freight.HGV.Motorways","freight.HGV.A.roads","freight.HGV.Minor.roads","freight.diesel.LGV.Motorways","freight.diesel.LGV.A.roads","freight.diesel.LGV.Minor.roads","freight.petrol.LGV.Motorways","freight.petrol.LGV.A.roads","freight.petrol.LGV.Minor.roads"
"186","E07000171","Bassetlaw",17,656,994,1720,16454,9376,1207,17292,10090,13,183,154,4584,27068,1369,1287,11273,4969,37,330,180
"187","E07000172","Broxtowe",349,495,1043,12183,6780,5498,8588,8258,6646,56,105,126,18961,3223,659,7578,3840,2387,217,128,93
"188","E07000173","Gedling",0,354,851,0,4637,5126,0,5347,5932,0,53,105,0,1651,646,0,2233,2402,0,73,91
"189","E07000174","Mansfield",0,546,933,0,5444,4754,0,6895,5810,0,59,104,0,1952,563,0,2583,2131,0,91,84
"190","E07000175","Newark and Sherwood",0,812,871,0,22178,9630,0,22879,10086,0,239,136,0,32453,1471,0,15470,5047,0,451,181
"191","E07000176","Rushcliffe",0,1004,599,0,17946,5816,0,19188,6099,0,171,86,0,15881,822,0,10027,3062,0,303,109
"192","E07000177","Cherwell",696,934,847,27300,19025,9826,19268,20583,10297,202,233,181,34013,17036,856,13354,10279,5015,382,313,182
"193","E07000178","Oxford",0,1751,716,0,6765,5339,0,8325,6674,0,127,136,0,3701,444,0,3477,2746,0,119,110
"194","E07000179","South Oxfordshire",884,796,811,17400,11920,10515,12207,12583,10820,136,200,191,14717,5670,891,7362,6827,5376,211,208,192
"195","E07000180","Vale of White Horse",0,1183,791,0,25814,8836,0,26888,9305,0,325,173,0,26073,576,0,15020,4517,0,437,164
